,GFC Proxy-Daily
2013-11-07,-0.23808337810320274
2013-11-08,-0.25639439273963505
2013-11-10,-0.2576854359277385
2013-11-11,-0.24864790132717787
2013-11-12,-0.2698570278583384
2013-11-13,-0.2993572098191588
2013-11-14,-0.2522655286962477
2013-11-15,-0.23334699484711255
2013-11-17,-0.2343139044928895
2013-11-18,-0.20836112644404453
2013-11-19,-0.2433948994710753
2013-11-20,-0.2547582821958306
2013-11-21,-0.26088676773207325
2013-11-22,-0.24402873420541107
2013-11-24,-0.24506052566231631
2013-11-25,-0.23237763845301163
2013-11-26,-0.25417414601929045
2013-11-27,-0.23379419073127483
2013-11-28,-0.21613524276918755
2013-11-29,-0.20644651398896532
2013-12-01,-0.20777514229262523
2013-12-02,-0.22559359374597274
2013-12-03,-0.287896234112833
2013-12-04,-0.3112879989477549
2013-12-05,-0.33693921508689867
2013-12-06,-0.3139927978035767
2013-12-08,-0.3149134553447851
2013-12-09,-0.2925430352227737
2013-12-10,-0.3111834544869542
2013-12-11,-0.3385110360865144
2013-12-12,-0.37906821972289206
2013-12-13,-0.38663930274748287
2013-12-15,-0.3878343833907007
2013-12-16,-0.35243937801558173
2013-12-17,-0.36680071778160206
2013-12-18,-0.3330406076255802
2013-12-19,-0.29982839152329005
2013-12-20,-0.28926224423299685
2013-12-22,-0.29033242344297283
2013-12-23,-0.26711195144210437
2013-12-24,-0.25916375590403834
2013-12-25,-0.2646701868260467
2013-12-26,-0.2691501144627773
2013-12-27,-0.23577965419350758
2013-12-29,-0.23695826963229133
2013-12-30,-0.229030651619212
2013-12-31,-0.2233524585496042
2014-01-01,-0.2244301290085137
2014-01-02,-0.2494723172031848
2014-01-03,-0.24324082875125894
2014-01-05,-0.24439734543889582
2014-01-06,-0.26463976604586087
2014-01-07,-0.2364895039705418
2014-01-08,-0.22575407108810697
2014-01-09,-0.2352810400373255
2014-01-10,-0.20530596910179694
2014-01-12,-0.2063971677032527
2014-01-13,-0.19484310730437748
2014-01-14,-0.19745480466632706
2014-01-15,-0.15235930343972875
2014-01-16,-0.15759481413726129
2014-01-17,-0.16057802558037204
2014-01-19,-0.16189119348881456
2014-01-20,-0.16620586149939046
2014-01-21,-0.1654477548081053
2014-01-22,-0.15546235112335158
2014-01-23,-0.19095210826981338
2014-01-24,-0.28529917703249197
2014-01-26,-0.2866695512100545
2014-01-27,-0.3378615845290051
2014-01-28,-0.3212729360760102
2014-01-29,-0.3474650875480667
2014-01-30,-0.329763889264677
2014-01-31,-0.33843758816601605
2014-02-02,-0.3393881675966208
2014-02-03,-0.39359984791758795
2014-02-04,-0.39897520947848436
2014-02-05,-0.39972979873604836
2014-02-06,-0.33958748631244473
2014-02-07,-0.3105446203526616
2014-02-09,-0.31160194097754046
2014-02-10,-0.3135211504019233
2014-02-11,-0.26730095150885236
2014-02-12,-0.2432666455061379
2014-02-13,-0.2514557176646313
2014-02-14,-0.2197563304504645
2014-02-16,-0.22083673893264594
2014-02-17,-0.20281115929566176
2014-02-18,-0.20822813109191302
2014-02-19,-0.22134856788281784
2014-02-20,-0.22577209865655726
2014-02-21,-0.20929704612603883
2014-02-23,-0.21040162088801134
2014-02-24,-0.19661637608690483
2014-02-25,-0.21592012695640767
2014-02-26,-0.22626899530384198
2014-02-27,-0.22942893202914247
2014-02-28,-0.20984291841334618
2014-03-02,-0.21114034831715273
2014-03-03,-0.326973530024234
2014-03-04,-0.23475280718876437
2014-03-05,-0.2316437806819178
2014-03-06,-0.21252281904801243
2014-03-07,-0.24176550727989596
2014-03-09,-0.24263374745183092
2014-03-10,-0.2689578738157764
2014-03-11,-0.27438762746757106
2014-03-12,-0.31819809868625565
2014-03-13,-0.36771109460218265
2014-03-14,-0.40193406203297444
2014-03-16,-0.4031917342082301
2014-03-17,-0.3350575499687498
2014-03-18,-0.284856600303858
2014-03-19,-0.2967780484516919
2014-03-20,-0.3060904549462586
2014-03-21,-0.3134450922741515
2014-03-23,-0.31425272790179176
2014-03-24,-0.33686503136360235
2014-03-25,-0.296830815186111
2014-03-26,-0.2721331920051158
2014-03-27,-0.27483550113844085
2014-03-28,-0.24250530347450858
2014-03-30,-0.24359694246383118
2014-03-31,-0.2105436315313185
2014-04-01,-0.17422051999021246
2014-04-02,-0.16105859730842476
2014-04-03,-0.1639533055547915
2014-04-04,-0.16690188501242104
2014-04-06,-0.16822826593683532
2014-04-07,-0.2113653762010838
2014-04-08,-0.22310741261718664
2014-04-09,-0.20518175665109534
2014-04-10,-0.22851051664906902
2014-04-11,-0.27661415952860496
2014-04-13,-0.27813996298468047
2014-04-14,-0.2899309101134132
2014-04-15,-0.3305476006427722
2014-04-16,-0.274331482267358
2014-04-17,-0.24736285576473238
2014-04-18,-0.24140671809631767
2014-04-20,-0.24227251076038014
2014-04-21,-0.24407244673692285
2014-04-22,-0.20597048465311066
2014-04-23,-0.22500681323004051
2014-04-24,-0.22869938290543804
2014-04-25,-0.2794990768648081
2014-04-27,-0.2806678719376495
2014-04-28,-0.2775472344423489
2014-04-29,-0.24065723676162568
2014-04-30,-0.23416586100204742
2014-05-01,-0.23221579991367355
2014-05-02,-0.2265622712291014
2014-05-04,-0.22746827399321876
2014-05-05,-0.23512792284690776
2014-05-06,-0.23949509750804998
2014-05-07,-0.22626887848932756
2014-05-08,-0.20780979734908167
2014-05-09,-0.21680438278114356
2014-05-11,-0.2181097944935108
2014-05-12,-0.18725959004143
2014-05-13,-0.17969462833945357
2014-05-14,-0.1792105103488592
2014-05-15,-0.22748084994572837
2014-05-16,-0.2262408835038583
2014-05-18,-0.22746473542774517
2014-05-19,-0.21788592247881536
2014-05-20,-0.21640549371691947
2014-05-21,-0.19439143560878488
2014-05-22,-0.17366260253945576
2014-05-23,-0.1510520732718063
2014-05-25,-0.1522106954607837
2014-05-26,-0.1250841497648773
2014-05-27,-0.12601532194030043
2014-05-28,-0.1131163444185726
2014-05-29,-0.10457873396797916
2014-05-30,-0.10846763507965672
2014-06-01,-0.10956033595810956
2014-06-02,-0.08788473920400679
2014-06-03,-0.09287851079686717
2014-06-04,-0.09470445804314956
2014-06-05,-0.06985874866851412
2014-06-06,-0.03428717249650693
2014-06-08,-0.035542569154985854
2014-06-09,-0.01693676178798127
2014-06-10,-0.0060210734128989815
2014-06-11,-0.031193066634850785
2014-06-12,-0.03844894679963754
2014-06-13,-0.053569899216073504
2014-06-15,-0.05517520329318514
2014-06-16,-0.0864005899631458
2014-06-17,-0.080781167921003
2014-06-18,-0.06255779241198516
2014-06-19,-0.04891233445267838
2014-06-20,-0.05922075332476962
2014-06-22,-0.060421360113232216
2014-06-23,-0.06432478739540046
2014-06-24,-0.06911245340214196
2014-06-25,-0.09982589035381598
2014-06-26,-0.10756258562439222
2014-06-27,-0.10748564718446466
2014-06-29,-0.10891213683553647
2014-06-30,-0.10438351344678885
2014-07-01,-0.08056862196451059
2014-07-02,-0.06325623734438546
2014-07-03,-0.03677825984417311
2014-07-04,-0.05715255282331047
2014-07-06,-0.05816500732031815
2014-07-07,-0.0752395026178259
2014-07-08,-0.11899796259293563
2014-07-09,-0.12320971594788181
2014-07-10,-0.16027232104196945
2014-07-11,-0.15250081308705665
2014-07-13,-0.1537017147387578
2014-07-14,-0.12365652943651988
2014-07-15,-0.1420362185144331
2014-07-16,-0.10609548429996607
2014-07-17,-0.15066310592575846
2014-07-18,-0.1486443363214234
2014-07-20,-0.15004604196341967
2014-07-21,-0.1733222562323728
2014-07-22,-0.13332463344341244
2014-07-23,-0.12725297532673688
2014-07-24,-0.10525603754463893
2014-07-25,-0.13142589446213349
2014-07-28,-0.1472309738907746
2014-07-29,-0.14002645878126088
2014-07-30,-0.14194791102485835
2014-07-31,-0.21668960032835996
2014-08-01,-0.2528984422950481
2014-08-03,-0.253844876970298
2014-08-04,-0.24765813219994376
2014-08-05,-0.27287977597879215
2014-08-06,-0.3164835873268666
2014-08-07,-0.3443284761886925
2014-08-08,-0.3600861529607488
2014-08-10,-0.3612344463627141
2014-08-11,-0.3033209132259737
2014-08-12,-0.30761951102178714
2014-08-13,-0.27551746243216335
2014-08-14,-0.26530675644969015
2014-08-15,-0.2630537082886817
2014-08-17,-0.2641267594191535
2014-08-18,-0.22932870818682502
2014-08-19,-0.19708350241113282
2014-08-20,-0.19138498977214594
2014-08-21,-0.16570785007221106
2014-08-22,-0.17400482618237215
2014-08-24,-0.17471979238423507
2014-08-25,-0.13980020513341843
2014-08-26,-0.12178939270168677
2014-08-27,-0.10617341035598102
2014-08-28,-0.14470154710583857
2014-08-29,-0.14318839842845538
2014-08-31,-0.14421014511237948
2014-09-01,-0.1412201308885052
2014-09-02,-0.12948922580772965
2014-09-03,-0.08558629486739458
2014-09-04,-0.06822187914504761
2014-09-05,-0.06058527344024597
2014-09-07,-0.061616364179727864
2014-09-08,-0.06887980987937284
2014-09-09,-0.09457229491800875
2014-09-10,-0.10499121848739218
2014-09-11,-0.11448537169474401
2014-09-12,-0.12353930318168008
2014-09-14,-0.12488033523365541
2014-09-15,-0.13898017513893662
2014-09-16,-0.1398176275821839
2014-09-17,-0.12214414539168676
2014-09-18,-0.10873053381178407
2014-09-19,-0.10722589901250407
2014-09-21,-0.10861373972968634
2014-09-22,-0.13736387267800207
2014-09-23,-0.1791165024498243
2014-09-24,-0.15983957535549065
2014-09-25,-0.20260778440763755
2014-09-26,-0.1881376163573245
2014-09-28,-0.18965152091272958
2014-09-29,-0.2147784892906242
2014-09-30,-0.20485470185612045
2014-10-01,-0.2606150195296595
2014-10-02,-0.3358961985012149
2014-10-03,-0.29487478764916136
2014-10-06,-0.28333307215631703
2014-10-07,-0.34101051651007713
2014-10-08,-0.3703242152183679
2014-10-09,-0.3980376208334813
2014-10-10,-0.478024792091829
2014-10-12,-0.4814939328953401
2014-10-13,-0.4899769689583889
2014-10-14,-0.49518638423940614
2014-10-15,-0.589535283953866
2014-10-16,-0.6288324899981598
2014-10-17,-0.520565123170412
2014-10-19,-0.5210133504409541
2014-10-20,-0.5193771423607738
2014-10-21,-0.4485542252494324
2014-10-22,-0.440458443944671
2014-10-23,-0.4240775885029319
2014-10-24,-0.4190407663284384
2014-10-26,-0.4197902826750632
2014-10-27,-0.44614629002123274
2014-10-28,-0.3939808908199841
2014-10-29,-0.3915749866600922
2014-10-30,-0.36881875563879174
2014-10-31,-0.29284600800624205
2014-11-02,-0.29386560587638016
2014-11-03,-0.30161326079051526
2014-11-04,-0.33353885234202696
2014-11-05,-0.3082058446852567
2014-11-06,-0.3154838787252893
2014-11-07,-0.3345074380516026
2014-11-09,-0.335604182212759
2014-11-10,-0.30471499505396327
2014-11-11,-0.3048417885202961
2014-11-12,-0.3322994451110198
2014-11-13,-0.3358461695693454
2014-11-14,-0.3355512599119408
2014-11-16,-0.3372253580988792
2014-11-17,-0.33731330732663584
2014-11-18,-0.297595560567492
2014-11-19,-0.29188933526423455
2014-11-20,-0.29220687895857467
2014-11-21,-0.2228711589153164
2014-11-23,-0.22372800958994762
2014-11-24,-0.21103601573338565
2014-11-25,-0.2080367935799908
2014-11-26,-0.2078349204468466
2014-11-27,-0.21114295103923075
2014-11-28,-0.2290003816421506
2014-11-30,-0.23185282123579432
2014-12-01,-0.27388065292619374
2014-12-02,-0.262987415184412
2014-12-03,-0.23275218600174907
2014-12-04,-0.26491161764481413
2014-12-05,-0.22428831359197443
2014-12-07,-0.22558054562132696
2014-12-08,-0.2654351917994465
2014-12-09,-0.358714431181978
2014-12-10,-0.39625647003796993
2014-12-11,-0.41569191712684356
2014-12-12,-0.49584353401302345
2014-12-14,-0.4981825045341285
2014-12-15,-0.5939454113850859
2014-12-16,-0.6171191606993617
2014-12-17,-0.5666248286220287
2014-12-18,-0.45252201368432027
2014-12-19,-0.43382280547163016
2014-12-21,-0.43424632627268966
2014-12-22,-0.3985232237749146
2014-12-23,-0.38656576147143246
2014-12-24,-0.3826869907435742
2014-12-25,-0.37684778790598955
2014-12-26,-0.3755601372092937
2014-12-28,-0.3763879713179088
2014-12-29,-0.3813695551068706
2014-12-30,-0.4149091732832107
2014-12-31,-0.4160261036689438
2015-01-01,-0.41693141958003993
2015-01-02,-0.4128312940202519
2015-01-04,-0.41427206843866676
2015-01-05,-0.5108148628283552
2015-01-06,-0.5410440509327814
2015-01-07,-0.5209394463498377
2015-01-08,-0.420439802277217
2015-01-09,-0.4640991903086033
2015-01-11,-0.464694397845401
2015-01-12,-0.4729689214010973
2015-01-13,-0.4401555583929029
2015-01-14,-0.4790038349123904
2015-01-15,-0.45925821757962654
2015-01-16,-0.430978456590136
2015-01-18,-0.43190905839837607
2015-01-19,-0.4144353900082551
2015-01-20,-0.39451134150336065
2015-01-21,-0.3535250875888407
2015-01-22,-0.28800566825219426
2015-01-23,-0.2541658065120139
2015-01-26,-0.24352985096722457
2015-01-27,-0.27106969428276484
2015-01-28,-0.3032915964845623
2015-01-29,-0.3113213404117933
2015-01-30,-0.33815572482388484
2015-02-01,-0.3384085932581818
2015-02-02,-0.31265425672032204
2015-02-03,-0.23515325034203954
2015-02-04,-0.2401689501837687
2015-02-05,-0.2208488803512234
2015-02-06,-0.22269042141325332
2015-02-08,-0.22332951860004552
2015-02-09,-0.2510540257976457
2015-02-10,-0.22575965200718875
2015-02-11,-0.23818473468137322
2015-02-12,-0.1673141354050688
2015-02-13,-0.1205644244814538
2015-02-15,-0.12105227858960238
2015-02-16,-0.13492182960734875
2015-02-17,-0.14187205953566023
2015-02-18,-0.10759848138949284
2015-02-19,-0.10468326995028973
2015-02-20,-0.09602247441788299
2015-02-22,-0.09725066490684538
2015-02-23,-0.07852850983685629
2015-02-24,-0.05355683081615832
2015-02-25,-0.06505052636931594
2015-02-26,-0.05420082780168078
2015-02-27,-0.057863502392526474
2015-03-01,-0.05895630059262951
2015-03-02,-0.06029239518026836
2015-03-03,-0.0815517795204166
2015-03-04,-0.09930695784581796
2015-03-05,-0.07112964868485316
2015-03-06,-0.08074832815136683
2015-03-08,-0.08176351312767555
2015-03-09,-0.09972471273931555
2015-03-10,-0.1669610348105759
2015-03-11,-0.1314171488424893
2015-03-12,-0.1095689725238875
2015-03-13,-0.12403094586604475
2015-03-15,-0.12547766998302587
2015-03-16,-0.09247137097670306
2015-03-17,-0.09762050925681058
2015-03-18,-0.07485772667356426
2015-03-19,-0.06704240953999903
2015-03-20,-0.02424167695109995
2015-03-22,-0.024969846391305613
2015-03-23,-0.03424314211605163
2015-03-24,-0.020031074708360706
2015-03-25,-0.057506188037200125
2015-03-26,-0.11132811600497224
2015-03-27,-0.11221852301716333
2015-03-29,-0.11283019972451915
2015-03-30,-0.055185057635387356
2015-03-31,-0.08428735264654003
2015-04-01,-0.06155236970616585
2015-04-02,-0.041912278644339974
2015-04-03,-0.04114316525415443
2015-04-05,-0.042928386251559945
